id;nome;tema;valor;tipo_festa_id;cliente_id
1;opposite during thoughtfully;pobre;9811.84;1;1
2;molhado down whereas;courageously demolir;11993.37;2;2
3;ha;passivo;26702.13;3;3
4;simples;knowledgeably artístico;19000.53;4;4
5;meh within recklessly;chegar;28583.41;5;5
6;levantar flexível;forte postar;15745.88;6;6
7;operar destrutivo;mão sentir preocupado;11460.81;7;7
8;uh-huh;calça;22130.58;8;8
9;chuva descrever;now poorly;16981.35;9;9
10;whose;quietly against;7620.59;10;10
11;nervously;frankly;1440.63;11;11
12;excluir huzzah duh;between canoa what;19482.37;12;12
13;irresponsável fooey;decidido cachorro;7912.41;13;13
14;diligently;judgementally whereas;12244.69;14;14
15;voluntarily misturar provided;inasmuch keenly;15566.31;15;15
16;amar demolir artístico;safely;11826.37;16;16
17;bah why;redondo;19284;17;17
18;policial;limpo atualizar;22314.06;18;18
19;satisfeito properly;musical magro;30274.53;19;19
20;congelar envergonhar;for;6488.57;20;20
21;after resolver forte;softly descrever yowza;4848.04;21;21
22;criativo energético;galinha satisfeito;24514.21;22;22
23;consciente;urso;9263.19;23;23
24;ouch;always er wherever;30312.5;24;24
25;tecido;loja;17828.23;25;25
26;dia salvar instantly;wearily;23544.11;26;26
27;ha freely inasmuch;however punir;29454.09;27;27
28;until barco whenever;why furthermore;13938.62;28;28
29;congresso but gadzooks;refogar desorganizado rosto;5700.76;29;29
30;mãe artístico;qua;24561.13;30;30
