id;nome_item;valor_item
1;amargo partially famously;29275.05
2;solemnly estreito aha;31454.19
3;notar throughout;30828.24
4;construir;5265.83
5;generally;19254.56
6;patiently;31993.79
7;excepting only;12245.45
8;swiftly;12969.72
9;vice why meanwhile;11400.39
10;ick;12219.4
11;unexpectedly colar unto;24718.11
12;yuck paredes;8779.85
13;likewise because;2824
14;upside-down yahoo excepting;12661.6
15;until;10401.27
16;until whoa;29418.37
17;without;24607.19
18;what ew claro;29972.84
19;programar though softly;27852
20;governo and;10976.05
21;mentiroso dívida;24738.8
22;afore mal-educado;24517.48
23;bah claro;22916.6
24;loja gee seguir;4547.67
25;phew;4041.52
26;circa terrestre arrumar;17744.99
27;though bleakly;15845.81
28;times over;19950.51
29;once;10825.24
30;past;20324.74
