id;nome;descricao
1;blah phooey;interruptor cheio carefully
2;that aberto whose;hourly borracha sincero
3;beber brilhar;kiddingly per until
4;retangular votar versus;ack worriedly dormir
5;relaxado parque;save tossir carregar
6;teatro;briskly
7;along above;ferver
8;carregar curioso unless;boohoo whenever
9;inspirar participar;varrer against
10;sympathetically forte or;receber senado of
11;how longingly after;ugh annually athwart
12;giz sincero mockingly;clicar
13;alegrar how jovem;bicicleta between
14;reluctantly entrar;refrigerante
15;multar;belo which redondo
16;yippee psst pix;meditar
17;phooey dreamily ônibus;computador consequently
18;triangular liso macaco;innocently
19;decidido;mau
20;hence who astride;regarding
21;dente once;terribly about ansioso
22;or iluminar;guardar phooey sombra
23;desorganizado;boohoo cultivar hmph
24;whoa where ultimately;towards
25;lazily through finally;or wherever phooey
26;who boleto fraco;apitar
27;grama;provided
28;now ick;dirigir
29;frágil via while;gadzooks
30;if uh-huh;sedately
